filename,title,@creator,location,exact_spot,intimacy_level,date_stamp,daytime_icon,rawness_percent,BLIP_description,artistic_description,keywords,keyword_confidences,vibe,context
image117,Four Creatures,@transcendent_moment,"Tiberias, Israel",train window seat,22,Full moon in March,-,0.67,-,"a dog, cat, bird and butterfly",dog; butterfly; bird; stickers; animals; cats; stamps; pets; sticker; worldcat; dogs,0.7661; 0.7138; 0.7119; 0.2938; 0.2896; 0.2884; 0.286; 0.2774; 0.2773; 0.2773; 0.2772,mysterious,-
image118,Red Dragon Shadows,@transcendent_moment,"Goa, India",seashore rocks,27,My last day at work,🍝,0.52,Made while lying on the floor staring at the ceiling,a red dragon on a white,dragon; bhutan; crest; jaguar; griffin; rug; symbol; tile,0.2843; 0.2811; 0.2759; 0.2721; 0.2717; 0.2684; 0.2662; 0.2648,warm,Made while lying on the floor staring at the ceiling
image119,Hedgehog and Apple,@atmospheric_pressure,"Rosh Hanikra, Israel",rain-soaked café,16,Early spring 2005,☕,0.98,-,a of a hedgehog and an apple,hedgehog; apple; tree; card; sticker; stamp; heart; permalink; kinase,0.735; 0.2666; 0.2642; 0.2596; 0.2589; 0.2588; 0.2562; 0.2549; 0.2544,serene,-
image12,Paint and Pastel Echoes,@zen_garden,"Fez, Morocco",forest clearing,35,Before the big storm,☀️,0.62,-,"acrylics, pastels, and gouache",gouache; acrylics; pastels; colors; variations; quilt; textile; cells; markers,0.7647; 0.7543; 0.7491; 0.2806; 0.2772; 0.2759; 0.2734; 0.2722; 0.2712,mysterious,-
image120,Two Beetles and a Star,@peaceful_mind,"Nara, Japan",by the fireplace,13,Full moon in March,🍝,0.59,-,"two beetles, one with a star on its back and the other with an arrow pointing to it",beetles; star; back; arrow; appendix; segment; verzeichnis; insects; astrology; worm; dish; liver,0.7523; 0.7275; 0.7218; 0.6881; 0.271; 0.2694; 0.2681; 0.2659; 0.2639; 0.2639; 0.2625; 0.2593,neutral,-
image121,Beneath the Spider,@sapphire_blue,-,bus seat,7,Midnight in April,-,0.6,-,a of a spider and an insect,insect; creatures; insects; organisms; spider; antibodies; bugs; species,0.7573; 0.2888; 0.2783; 0.2771; 0.2696; 0.2675; 0.2672; 0.2633,neutral,-
image122,Grasshopper Shadows,@inside_out,"Reykjavík, Iceland",train window seat,22,Day after graduation,-,0.76,-,a grasshopper and an insect,insect; grasshopper; insects; brochure; flyer; bugs; restoration; publication; species,0.7682; 0.7493; 0.2689; 0.2644; 0.2637; 0.2539; 0.25; 0.25; 0.2499,mysterious,-
image123,Ladybug Whispers,@background_noise,"Nara, Japan",hidden alleyway,26,During the blackout,🍷,0.51,-,"a ladybug, an orange and blue bug, and a flower",ladybug; bug; orange; flower; antibodies; organisms; bacteria; insects; viruses; bacterial; textile,0.7268; 0.7136; 0.7031; 0.7018; 0.2712; 0.2685; 0.2647; 0.2616; 0.2576; 0.2572; 0.2564,melancholic,-
image124,Green Vase Whispers,@amethyst_sky,"Marrakesh, Morocco",balcony at sunset,14,Winter of '98,-,-,-,a green plant in a vase,vase; plant; verde; cell; bottle; tee; shirt; textile; printed,0.7941; 0.7526; 0.2747; 0.2732; 0.2698; 0.2663; 0.2629; 0.2608; 0.2597,cool,-
image125,UFO in the Night,@expressive_heart,"Fez, Morocco",library window,30,Summer solstice,🍝,-,-,an of a ufo flying through the night sky,sky; night; starsmerchant; space; universe; alien; prints; saturn; astrology; poster,0.7271; 0.7097; 0.2688; 0.2685; 0.2651; 0.265; 0.2624; 0.261; 0.2577; 0.2571,raw,-
image126,Cars on the Road,@quiet_night,"Masada, Israel",hotel balcony,28,Middle of summer,☕,0.6,-,cars on the road at night,cars; road; night; car; automobile; passenger; automobiles; acrylic; drive; highway; vehicle,0.7514; 0.745; 0.714; 0.2645; 0.2632; 0.262; 0.2617; 0.2601; 0.2594; 0.2585; 0.258,neutral,-
image127,Vase of Flowers and Child,@star_cluster,"Lamu, Kenya",library window,30,Midnight in April,🍷,0.52,-,a of a vase with flowers and a child's handwriting on the,handwriting; child; flowers; vase; birthday; fifteen; twenty; wishes; years; cookbook; beginners,0.7437; 0.7377; 0.7279; 0.7049; 0.2763; 0.2759; 0.2676; 0.2655; 0.2619; 0.2618; 0.2614,neutral,-
image128,Woman with Fish and Other Things,@emerald_city,"Tel Aviv, Israel",forest clearing,35,During the blackout,☀️,0.55,-,a woman with fish and other items in her hair,hair; items; conscious; bloom; crop; anxiety; peripheral; mind; sudan,0.7353; 0.7196; 0.2586; 0.2582; 0.2569; 0.2569; 0.2562; 0.2561; 0.2552,neutral,-
image129,Woman in Hat,@asteroid_belt,"Dead Sea, Israel",train window seat,22,Middle of summer,-,0.54,-,a woman wearing a hat,hat; shoulder; profile; reconstruction; neck; lid; outline; hats,0.2829; 0.2754; 0.2692; 0.2686; 0.2676; 0.2673; 0.2672; 0.2659,serene,-
image13,Ink Collage,@moon_phase,"New York, USA",backstage dressing room,25,04/07/11,-,0.66,-,"collage, and ink on",ink; collage; tile; fig; tiles; postcards; globe; prints; postcard; seed,0.7197; 0.7159; 0.2643; 0.2601; 0.26; 0.2584; 0.2578; 0.2551; 0.2528; 0.2522,neutral,-
image130,Woman with Earrings,@golden_hour,"Montreal, Canada",office desk corner,6,During the blackout,🍝,0.55,-,a woman wearing earrings,earrings; portrait; ana; portraits; icon; avatar; vector; ranger,0.7322; 0.2618; 0.2602; 0.2572; 0.2565; 0.2541; 0.254; 0.2524,neutral,-
image131,"Leaves, Branches, Snowflakes",@aquamarine_wave,"Paris, France",during traffic in my car,10,Last June,☕,0.77,-,"leaves, branches, and snowflakes in a blue sky",snowflakes; branches; sky; blue; leaves; leaf; plant; pine; vegetation; seasons; plants; branch,0.7587; 0.752; 0.7124; 0.6979; 0.2867; 0.284; 0.2805; 0.2784; 0.2689; 0.267; 0.2644; 0.263,melancholic,-
image132,Burrito with Lettuce and Tomato,@crystal_echo,"Pingyao, China",bridge at dusk,31,Halloween night,🌙,0.84,-,"a burrito, lettuce, tomato, onion, and cheese",burrito; lettuce; onion; tomato; wrap; dietary; salad; sandwich; kernel; food; foods; vegetable,0.8086; 0.7506; 0.7289; 0.7129; 0.2631; 0.2625; 0.262; 0.2615; 0.2605; 0.259; 0.2587; 0.2567,mysterious,-
image133,Woman in Headscarf,@creative_spirit,"Oaxaca, Mexico",beach,3,One rainy afternoon,🍷,0.59,-,a woman wearing a headscarf,headscarf; sudan; ana; study; portrait; worker; arab; civilian,0.8139; 0.2739; 0.2672; 0.2624; 0.2595; 0.2592; 0.2587; 0.257,serene,-
image134,Potted Plant on a Small Table,@crystal_echo,"Paris, France",toilet,2,Night of the eclipse,🍝,0.75,-,a potted plant on a small table,table; pine; plant; florist; winter; plants; florists; decorative; decorating,0.7583; 0.2772; 0.2759; 0.2719; 0.2717; 0.2713; 0.267; 0.2658; 0.2658,mysterious,-
image135,Man on the Balcony,@asteroid_belt,"Goa, India",candlelit room,24,The day the power went out,🍝,0.94,-,a man on the balcony of a building,balcony; building; lookup; roof; rendered; render; apartments; developments; apartment; housing,0.7771; 0.7601; 0.2789; 0.2786; 0.2775; 0.2744; 0.2703; 0.2689; 0.2689; 0.2667,warm,-
image136,Purple Trees in a Field,@magenta_rose,"Berlin, Germany",candlelit room,24,Halloween night,☀️,0.83,-,purple trees in a field,field; purple; crops; plains; prairie; crop; fields; landscape; landscapes; trees,0.7832; 0.7611; 0.2981; 0.2937; 0.2921; 0.2885; 0.2883; 0.2842; 0.2837; 0.2833,cool,-
image137,Oranges in a Bowl,@quiet_night,"Amsterdam, Netherlands",kitchen table,11,Winter break,🍝,0.84,-,oranges in a bowl,bowl; oranges; potatoes; potato; bread; foods; recipes; cookies; yeast; tomato,0.7647; 0.7631; 0.2969; 0.2818; 0.2746; 0.2714; 0.2709; 0.2681; 0.2681; 0.268,warm,-
image138,Ink and Gouache,@zen_garden,"Rome, Italy",attic room,12,An endless Sunday,🍷,0.7,Found an old notebook and sketched over my old school notes,"ink, and gouache on",gouache; ink; abstracts; colors; color; markers; acrylic; layer; abstract; oils,0.7839; 0.7436; 0.2732; 0.2719; 0.2678; 0.2676; 0.2673; 0.267; 0.2663; 0.2647,neutral,Found an old notebook and sketched over my old school notes
image139,Colored Pencils and Crayons,@turquoise_sea,"Prague, Czech Republic",secluded garden,23,Early spring 2005,🍷,0.63,-,"colored pencils, and crayons",crayons; pencils; scanned; backgrounds; sequences; stationery; landscapes; comparative; pages,0.7506; 0.7435; 0.2508; 0.2501; 0.2483; 0.2467; 0.2458; 0.2446; 0.2445,warm,-
image14,Lemon,@golden_hour,"Safed, Israel",balcony at sunset,14,Midnight in April,🍝,0.98,-,a lemon and a of,lemon; pieces; piece; circular; lid; circle; fraction; geo,0.7503; 0.2757; 0.2736; 0.2729; 0.2689; 0.2649; 0.2647; 0.2632,mysterious,-
image140,New World Logo,@tourmaline_rain,"Dead Sea, Israel",under the old oak tree,15,The day the power went out,🍝,0.82,-,the logo for new world energy,logo; energy; frequency; world; renewable; activation; advertisement; frequencies; electricity,0.7345; 0.2789; 0.2595; 0.2569; 0.2536; 0.2511; 0.2504; 0.2476; 0.2469,serene,-
image141,Man in Hat with Tie,@mood_swing,"Reykjavík, Iceland",candlelit room,24,04/07/11,-,0.72,-,a man in a hat and tie holding a glass of wine,hat; wine; glass; golf; stick; mime; cartoons; animated; sticks; sub; gnu,0.7397; 0.7364; 0.7111; 0.2694; 0.2674; 0.2632; 0.2631; 0.2627; 0.2619; 0.2619; 0.2617,serene,-
image142,Person Lying on the Ground,@cyan_sky,"Masada, Israel",bar counter,9,Worst birthday I've ever had,🍝,0.53,-,a person laying on the ground in front of a train,train; person; ground; front; nursery; television; aquarium; visitors; animation; refrigerator; observation; bedrooms,0.7385; 0.728; 0.7166; 0.6877; 0.2632; 0.2627; 0.26; 0.2596; 0.2594; 0.2585; 0.256; 0.2552,neutral,-
image143,"Rocket, Space Station, Satellite",@silver_lining,"Jaffa, Israel",school hallway,5,Autumn equinox,🌙,0.54,-,"a rocket, a space station, and a satellite stock",satellite; space; stock; station; intake; fish; missile; reconstruction; rocket; shark; bottle; lip,0.7518; 0.7378; 0.733; 0.7144; 0.2704; 0.2702; 0.2677; 0.2672; 0.2671; 0.265; 0.2647; 0.2641,mysterious,-
image144,Blue Man in Red Hat,@sacred_space,"Reykjavík, Iceland",on the rooftop,37,After the last train,-,-,-,a blue man in a red hat and yellow shorts,hat; shorts; acrobat; dive; performer; ballet; diving; animation; falling,0.7131; 0.6835; 0.275; 0.2741; 0.2671; 0.2664; 0.2653; 0.2651; 0.2649,warm,-
image145,Red Devil Doll,@occult_art,"Nara, Japan",hidden alleyway,26,Last June,☕,0.97,-,"a red devil doll, a black and an of a baby",doll; devil; baby; freebsd; lucas; lil; twiki; infant; teddy; child; annie,0.749; 0.7488; 0.7342; 0.2827; 0.2663; 0.2621; 0.2609; 0.2597; 0.2596; 0.2594; 0.258,dark,-
image146,"Dog, Cat, and Bird",@yellow_bird,"Zanzibar, Tanzania",airport lounge,36,Early spring 2005,☕,0.87,-,"a of a dog, a cat, and a bird",dog; bird; mice; rats; animals; pets; creatures; cats; rat,0.7394; 0.7082; 0.2923; 0.2851; 0.2796; 0.2745; 0.2702; 0.2681; 0.2661,mysterious,-
image147,Poem in Words,@sublime_vision,"Tel Aviv, Israel",forest clearing,35,Winter break,🌙,0.78,-,"the words of a poem written by the author, just once i want to bite you to shred your knuckle in the weight of daylight, to know your body by its names",knuckle; weight; poem; author; distances; knock; wanting; physically; keyword; excerpt; continually; distance,0.7889; 0.7463; 0.7328; 0.7233; 0.2816; 0.2803; 0.2735; 0.2713; 0.2697; 0.2689; 0.2686; 0.2679,whimsical,-
image148,Blue Table Lamp,@obsidian_void,"Venice, Italy",on the rooftop,37,Early spring 2005,🌙,0.52,-,a table lamp with a blue and pink shade,pink; shade; blue; lamp; lamps; lid; led; light; table; vertex; dot,0.7357; 0.7105; 0.6944; 0.289; 0.2708; 0.2634; 0.26; 0.2567; 0.2562; 0.2551; 0.2545,melancholic,-
image149,Chinese Character with Bronze Disk,@gray_wolf,"Samarkand, Uzbekistan",on the rooftop,37,An endless Sunday,🍝,0.5,-,a chinese character on a bronze disk,bronze; disk; character; shield; button; lid; seal; disc; coin; valve; raid,0.7505; 0.7369; 0.6909; 0.27; 0.2648; 0.2592; 0.2581; 0.2568; 0.2567; 0.2549; 0.2523,mysterious,-
image15,Tomato Cut in Half,@obsidian_void,"Budapest, Hungary",secluded garden,23,Midnight in April,🌙,0.74,-,a tomato cut in half,half; cut; tomato; seed; virus; card; seeds; detector; reconstruction; fig,0.7316; 0.7313; 0.269; 0.2675; 0.2644; 0.2643; 0.2634; 0.2603; 0.2598; 0.2583,mysterious,-
image150,Tall White Column,@brown_bear,"Venice, Italy",museum hallway,33,An endless Sunday,-,0.79,-,a tall white column in the middle of a room,middle; room; pole; column; cylinder; wall; aluminium; scale; lcd; columns,0.7407; 0.7295; 0.2934; 0.2898; 0.2709; 0.2695; 0.267; 0.2645; 0.264; 0.2632,neutral,-
image151,Hand‑Drawn City Map,@mood_swing,"Tiberias, Israel",school hallway,5,On my sister's wedding day,🍷,-,-,"a hand-drawn map of the city, which is used to guide visitors through the exhibition",visitors; exhibition; city; map; installations; creating; create; mapping; artist; artists; installation; collaborative,0.7014; 0.6933; 0.6768; 0.6758; 0.2463; 0.2439; 0.2437; 0.2402; 0.2378; 0.2353; 0.2343; 0.2329,raw,-
image152,Colorful Glass Sphere,-,"New York, USA",library window,30,Full moon in March,-,0.98,-,a colorful glass sphere sitting on top of a clear stand,glass; top; stand; cds; plasma; discs; atom; sphere; lens; disc; object,0.7527; 0.7147; 0.697; 0.2667; 0.2648; 0.2624; 0.2604; 0.2598; 0.2595; 0.2587; 0.2584,whimsical,-
image153,Black and White Abstract,@galaxy_whisper,"Chefchaouen, Morocco",dockside pier,34,Winter break,-,1.0,-,a black and white of an abstract on the wall,abstract; tile; cubic; tiles; parallel; fraction; wall; installation; surfaces,0.7285; 0.2699; 0.2655; 0.2628; 0.2624; 0.2606; 0.2596; 0.2595; 0.2593,neutral,-
image154,Orange Light on White Wall,-,"Fez, Morocco",riverbank,20,Halloween night,🍝,0.69,-,a of an orange light on a white wall,light; wall; orange; hardcover; publication; brochures; ebook; handbook; cookbook; catalogue; contributor,0.7261; 0.7226; 0.7171; 0.2802; 0.2636; 0.2604; 0.2598; 0.2588; 0.2583; 0.2575; 0.2574,whimsical,-
image155,Three Views of Gothic,@solar_flare,-,rain-soaked café,16,Full moon in March,-,0.63,-,three different views of gothic arches,arches; views; columns; arbor; plate; structures; panels; bridges; framework; arch,0.792; 0.6729; 0.2793; 0.2761; 0.2749; 0.2734; 0.2725; 0.271; 0.271; 0.268,serene,-
image156,Woman Walking in Field with Car,@shallow_waters,"Acre, Israel",bus seat,7,First week of college,🍷,0.88,-,a woman walking in a field and a car in the,field; car; gardening; lawn; farming; yard; picking; farmer; garden; childhood,0.7495; 0.6945; 0.2571; 0.255; 0.2536; 0.2531; 0.2524; 0.2514; 0.2513; 0.2505,neutral,-
image157,Woman Sitting in Garden,@indigo_night,"Vancouver, Canada",bar counter,9,Summer solstice,☕,0.96,-,a woman sitting in a garden,garden; vincent; gardens; thompson; reynolds; henderson; barnes; phillips; harrison,0.7447; 0.2668; 0.256; 0.2546; 0.2543; 0.254; 0.2526; 0.2512; 0.2507,serene,-
image158,Words Then Voice,@overhead_light,"Berlin, Germany",abandoned warehouse,17,The day the power went out,🍝,-,-,"the words, then the voice in my head said",head; voices; vocals; lyrics; excerpt; transcript; dialogue; voice; script,0.6942; 0.2832; 0.2778; 0.2747; 0.2745; 0.2659; 0.2641; 0.2638; 0.2625,mysterious,-
image159,Black and White Two,@divine_light,"Berlin, Germany",kitchen table,11,Halloween night,-,0.63,-,a black and white of two people on horseback,horseback; stamp; correspondence; kidney; stanley; teddy; charity; copies; montgomery,0.7125; 0.2641; 0.2615; 0.261; 0.2599; 0.2592; 0.2591; 0.259; 0.2585,neutral,-
image16,Lemon Slice with Hole,@soft_whisper,"Venice, Italy",during traffic in my car,10,First week of college,🌙,0.91,-,"a lemon slice, a of and a hole in the middle of it",slice; hole; middle; pour; egg; piece; lid; sun; surfaces; letter,0.7515; 0.736; 0.7242; 0.2668; 0.2638; 0.2607; 0.2607; 0.2583; 0.2582; 0.2577,serene,-
image160,Sun Rising over Body,@artistic_soul,"Lamu, Kenya",market square,21,Blue hour in January,☀️,0.92,-,the sun rising over a body of water,water; body; turner; sun; dawn; atmospheric; meyer; fog; sunrise; eclipse,0.7185; 0.6954; 0.2725; 0.2681; 0.2656; 0.2638; 0.2588; 0.2582; 0.2563; 0.2544,mysterious,-
image161,Man Sitting at Desk,@mystic_fog,"Budapest, Hungary",empty classroom,32,04/07/11,🌙,0.81,-,a man sitting at a desk in the dark,desk; dark; camping; backgrounds; environments; forest; lodge; scene; cottage; cabin,0.7146; 0.6996; 0.2623; 0.2589; 0.2521; 0.251; 0.2499; 0.2496; 0.2486; 0.248,melancholic,-
image162,Shadows and Leaves,@star_cluster,"Dead Sea, Israel",under the old oak tree,15,15/05/23,☕,0.82,-,the shadows of leaves on a white wall,shadows; wall; leaves; abstracts; fraction; forms; surfaces; fabric; film; quilt; marble,0.7482; 0.7417; 0.7319; 0.2666; 0.2602; 0.2596; 0.258; 0.2579; 0.2548; 0.2547; 0.2541,dark,-
image163,Field of Red Poppies,-,"Amsterdam, Netherlands",on the rooftop,37,One rainy afternoon,🍷,0.55,-,a field of red poppies,poppies; field; prairie; fields; ambient; bloom; foto; retrieval; fioricet,0.7571; 0.2642; 0.2576; 0.2564; 0.2553; 0.2525; 0.252; 0.2515; 0.2504,warm,-
image164,Black and White Circle,@blue_moon,"Samarkand, Uzbekistan",train window seat,22,Before the big storm,☀️,0.53,-,a black and white of a circular pattern,pattern; circles; dot; stars; molecules; eclipse; particle; rings; cluster,0.7189; 0.2718; 0.2614; 0.2588; 0.2556; 0.2539; 0.2527; 0.252; 0.2497,neutral,-
image165,Interior of Lincoln,@lime_light,"Rosh Hanikra, Israel",market square,21,The week before moving out,🍷,0.93,Sketched it while waiting for my laundry,the interior of the lincoln center library in new york city,interior; center; york; lincoln; libraries; bibliographic; library; encyclopedia; commons; bibliography; glossary; oclc,0.7459; 0.7262; 0.7149; 0.7111; 0.29; 0.284; 0.2774; 0.2628; 0.2614; 0.2603; 0.2592; 0.2592,neutral,Sketched it while waiting for my laundry
image166,White Buddha Sitting in Blue,@gentle_breeze,"Rosh Hanikra, Israel",school hallway,5,15/05/23,🍷,0.95,-,a white buddha sitting on a blue,buddha; blue; meditation; spirituality; consciousness; centered; portal; sacred; zen; practitioners,0.7823; 0.7105; 0.2634; 0.2583; 0.2579; 0.255; 0.2543; 0.2533; 0.2529; 0.2521,melancholic,-
image167,Leaf with Rocks and Pebbles,@amethyst_sky,"Samarkand, Uzbekistan",bridge at dusk,31,First snow of 2012,🍷,0.68,-,"a leaf, rocks and pebbles on a wooden table",pebbles; leaf; table; wooden; offerings; zen; rocks; offering; arrangement; meditation; stones; stone,0.7525; 0.7478; 0.7412; 0.72; 0.2777; 0.2652; 0.264; 0.2632; 0.261; 0.2578; 0.2564; 0.2557,neutral,-
image168,Circular Structure in the Middle,@chrysoprase_meadow,"Montreal, Canada",backstage dressing room,25,Autumn equinox,🌙,0.61,-,a circular structure in the middle of a grassy hillside,hillside; structure; middle; cedar; wooden; radius; shed; designed; wood; bureau; holes,0.7265; 0.7154; 0.6847; 0.2642; 0.2543; 0.2477; 0.2461; 0.2458; 0.2457; 0.2435; 0.2426,mysterious,-
image169,Colorful Abstract on Black,@star_cluster,"Takayama, Japan",empty classroom,32,Winter break,🍷,0.68,-,a colorful abstract on a black,acid; abstract; dimensional; detail; color; abstracts; textile; organisms,0.2703; 0.2594; 0.2582; 0.2578; 0.2566; 0.2548; 0.2547; 0.2545,whimsical,-
image17,Woman Painting Her Face,@foreground_focus,"Hallstatt, Austria",-,1,An endless Sunday,☀️,0.77,-,a woman with paint on her face,paint; face; saint; light; madonna; fraction; sacred; willow; faith; peripheral,0.7444; 0.7362; 0.2641; 0.2608; 0.2574; 0.2568; 0.2563; 0.2557; 0.2557; 0.2557,whimsical,-
image170,Woman’s Face,@surreal_world,"Barcelona, Spain",market square,21,Middle of summer,☀️,0.96,-,a of a woman's face,face; artist; artistic; mac; lee; printing; principal; hewlett,0.7393; 0.2598; 0.2567; 0.2557; 0.2549; 0.2529; 0.2529; 0.2528,mysterious,-
image171,Woman with Orange Hair,@mystic_fog,"Rosh Hanikra, Israel",hidden alleyway,26,During the blackout,🍷,0.55,-,a of a woman with orange hair,orange; hair; cock; maternity; vagina; kidney; cradle; infant; birth; nested,0.7305; 0.699; 0.259; 0.2581; 0.2575; 0.2574; 0.2567; 0.2565; 0.2548; 0.2548,warm,-
