filename,title,creator,location,exact_spot,intimacy_level,date_stamp,daytime_icon,rawness_percent,context
image274,Person Riding Skateboard,inktrace,"Acre, Israel",on the rooftop,37,Before the big storm,☀️,52%,-
image275,Chinese Zodiac Sign,dusk_drawer,"Amsterdam, Netherlands",in bed at midnight,38,Winter of '98,🍝,67%,-
image276,Black and White Poster,#fragmented,"Kibbutz Ein Gedi, Israel",desert roadside,18,On my sister's wedding day,🌙,69%,-
image277,Man Sitting on Ground,pixelnomad,"Valparaíso, Chile",office desk corner,6,Autumn equinox,☀️,68%,-
image278,How to Draw a Person,shade_studio,"Reykjavík, Iceland",hotel balcony,28,The day the power went out,☀️,56%,-
image279,Notice: May Not Be,driftmark,"Tel Aviv, Israel",bus seat,7,Middle of summer,☕,87%,-
image28,Spiral Made of Squares,lumenveil,"Jerusalem, Israel",in bed at midnight,38,The festival weekend,🌙,80%,-
image280,Water Lilies and Lotus Flowers,moonframe,"Masada, Israel",toilet,2,Day after graduation,-,74%,-
image281,Egg Falling from Above,anon,"Haifa, Israel",in bed at midnight,38,Early morning in August,🍝,-,-
image282,Woman’s Face with Insect and Handwriting,#lostfound,"Samarkand, Uzbekistan",school hallway,5,04/07/11,-,55%,-
image283,Two People Standing in Front,hiddenhands,"Marrakesh, Morocco",mountain lookout,19,The day the power went out,☕,63%,-
image284,Contents of a Written Manuscript,silent_form,"Luang Prabang, Laos",on the rooftop,37,First snow of 2012,🍷,81%,-
image285,List of Animals,driftmark,"Athens, Greece",airport lounge,36,Full moon in March,🍷,100%,-
image286,Polar Bear and Her Cubs,#wandering,"Marrakesh, Morocco",balcony at sunset,14,After the last train,🌙,-,-
image287,Components of a Vehicle,moonframe,"Dead Sea, Israel",hotel balcony,28,Just before sunrise,-,64%,-
image288,Woman in Red Coat,#unknown,"Chefchaouen, Morocco",empty classroom,32,First week of college,🍝,97%,-
image289,List of Names,#fragmented,"Siwa Oasis, Egypt",dockside pier,34,During the blackout,🍝,-,-
image29,Collage of Woman and Strawberry,#unseen,"Pingyao, China",on the rooftop,37,Autumn equinox,🍷,85%,-
image290,Frog Standing in Front,midnightbrush,"Prague, Czech Republic",metro station,8,New Year's Eve 2010,-,92%,-
image291,Person in Colorful Coat,pixelnomad,"Sapa, Vietnam",hotel balcony,28,Summer solstice,☕,54%,-
image292,Different Types of Waterproof,-,"Haifa, Israel",under the old oak tree,15,First week of college,-,94%,-
image293,Poem Written with Person,ghostline,"Pingyao, China",park bench,4,The day we met,🍝,-,-
image294,Handwritten Letter from President,#artifact,"Haifa, Israel",candlelit room,24,Early morning in August,🍝,98%,-
image295,Japanese Kimono in Blue,#fragmented,"Siwa Oasis, Egypt",museum hallway,33,An endless Sunday,🍝,55%,-
image296,Words: God Bless Love,inktrace,"Chefchaouen, Morocco",dockside pier,34,Summer solstice,🌙,66%,-
image297,Building with Green Doors,inktrace,"Reykjavík, Iceland",kitchen table,11,The week before moving out,☀️,57%,-
image298,Black and White House,midnightbrush,"Bariloche, Argentina",-,1,Summer solstice,🌙,99%,"While listening to a podcast about cults, I started making this"
image299,Pencil Drawing of Young Woman,lumenveil,"Haifa, Israel",bridge at dusk,31,Worst birthday I've ever had,☀️,79%,-
image3,Person Standing on Escalator,silent_form,"Vancouver, Canada",market square,21,Early spring 2005,🍝,100%,-
image30,Group of People Standing,inktrace,"Reykjavík, Iceland",office desk corner,6,On my sister's wedding day,🍝,90%,-
image300,Building with Birds Flying Above,midnightbrush,"Kibbutz Ein Gedi, Israel",seashore rocks,27,Early spring 2005,🍷,54%,-
image301,Ink and Pencil,pixelnomad,"Valparaíso, Chile",secluded garden,23,Day after graduation,-,77%,-
image302,"Charcoal, Graphite, and Ink",silent_form,"Chefchaouen, Morocco",rain-soaked café,16,-,🍝,85%,-
image303,Mermaid and Octopus,dusk_drawer,"Hallstatt, Austria",office desk corner,6,During the blackout,☀️,53%,-
image304,Three Children and a Dog,#unseen,"Nara, Japan",train window seat,22,Early morning in August,-,87%,-
image305,Cat Sleeping on Table,midnightbrush,"Haifa, Israel",during traffic in my car,10,Winter of '98,🌙,64%,Scribbled it during a Zoom meeting I should've paid attention to
image306,Pencil Drawing of Woman,nameless_one,"Valparaíso, Chile",secluded garden,23,First snow of 2012,🌙,92%,-
image307,Field with Grass and Trees,#lostfound,"Fez, Morocco",candlelit room,24,My last day at work,☕,94%,-
image308,Intriguing Visual Composition,#unknown,"Zanzibar, Tanzania",train window seat,22,Middle of summer,-,62%,-
image309,Human Skull,midnightbrush,"Kathmandu, Nepal",airport lounge,36,04/07/11,☕,60%,-
image31,Group of People on Tile,lumenveil,"Folegandros, Greece",during traffic in my car,10,Day after graduation,☕,95%,"Sitting in traffic, I started creating on my phone"
image310,Two Cats Lounging on Couch,lumenveil,"Acre, Israel",school hallway,5,One rainy afternoon,🍷,72%,-
image311,Two Men Sitting on Couch,#unseen,-,office desk corner,6,First snow of 2012,☀️,87%,-
image312,Two People Sitting on Bench,lumenveil,"Valparaíso, Chile",secluded garden,23,On my sister's wedding day,🌙,57%,-
image313,"Cat, Dog, and Man",#fragmented,"Jaffa, Israel",hotel balcony,28,Midsummer night,🍷,-,-
image314,Woman with Her Arms Up,pale_ink,"New York, USA",library window,30,Third week of lockdown,-,75%,-
image315,Pencil Drawing of Woman’s Profile,#unknown,"New York, USA",bridge at dusk,31,Midsummer night,🍷,51%,-
image316,Man and Woman Cover,moonframe,"Masada, Israel",dockside pier,34,The day the power went out,🍝,99%,-
image317,Man Sitting in Chair,pale_ink,"Cusco, Peru",hotel balcony,28,Third week of lockdown,🍷,62%,-
image318,Birthday Cake with Candles and Balloons,lumenveil,"Kathmandu, Nepal",library window,30,31/12/07,-,95%,-
image319,Woman Walking Dog with Note,#unknown,"Pingyao, China",under the old oak tree,15,First week of college,🌙,90%,-
image32,Collage with Ink,ghostline,"Goa, India",balcony at sunset,14,The day we met,☀️,97%,-
image320,Woman with Long Hair and Flower,anon,"Chefchaouen, Morocco",attic room,12,Night of the eclipse,🍝,92%,Painted on a napkin during lunch break
image321,Head of a Rooster,-,"Nazareth, Israel",airport lounge,36,Midsummer night,-,77%,-
image322,Bear Sitting in Grass,ghostline,"Jerusalem, Israel",laundromat corner,29,The day we met,☀️,99%,-
image323,Boar and Pig,dusk_drawer,"Venice, Italy",market square,21,The festival weekend,-,52%,-
image324,Group of Different Bugs,hiddenhands,"Reykjavík, Iceland",on the rooftop,37,Early spring 2005,🌙,83%,-
image325,Pig’s Eyes and Nose,#unseen,"Athens, Greece",dockside pier,34,Midnight in April,-,63%,-
image326,Black and White Woman Leaning,pale_ink,"Kathmandu, Nepal",airport lounge,36,The hottest day of the year,🍝,87%,-
image327,Reflection in Car,inktrace,"Goa, India",desert roadside,18,The day we met,🍷,81%,-
image328,"Monster, Cat, and Dog",#lostfound,"Zanzibar, Tanzania",laundromat corner,29,Third week of lockdown,☀️,64%,-
