filename,title,@creator,location,exact_spot,intimacy_level,date_stamp,daytime_icon,rawness_percent,BLIP_description,artistic_description,keywords,keyword_confidences,vibe,context
image114,Red Scissors Dream,@opal_dream,"Luang Prabang, Laos",toilet,14,Worst birthday I've ever had,🌙,0.72,-,"a pair of scissors, a red marker, and a of with the word 'scissors' written on it",scissors; pair; marker; word; signature; signatures; branch; branches; pins; nodes; sticks; variation,0.7721; 0.7575; 0.7426; 0.6828; 0.3; 0.2896; 0.2775; 0.2759; 0.2758; 0.2744; 0.2717; 0.2707,warm,Created it in the car wash while the brushes slammed the windows
image116,Scallop Shell and Red Dots,@quartz_crystal,"New Orleans, USA",museum hallway,12,Early morning in August,☀️,-,-,a scallop shell with red dots,scallop; dots; shell; fossil; geological; diagram; segment; distribution; internal; cardiovascular,0.798; 0.7103; 0.2841; 0.2818; 0.2803; 0.2801; 0.2788; 0.2786; 0.2773; 0.277,warm,Created it with one hand while holding a melting ice cream cone
image117,Four Creatures,@transcendent_moment,"Tiberias, Israel",train window seat,7,Full moon in March,-,0.67,-,"a dog, cat, bird and butterfly",dog; butterfly; bird; stickers; animals; cats; stamps; pets; sticker; worldcat; dogs,0.7661; 0.7138; 0.7119; 0.2938; 0.2896; 0.2884; 0.286; 0.2774; 0.2773; 0.2773; 0.2772,mysterious,"Created it after spilling tea on my sketchbook and deciding it was ""part of the art"""
image121,Beneath the Spider,@sapphire_blue,-,bus seat,4,Midnight in April,-,0.6,-,a of a spider and an insect,insect; creatures; insects; organisms; spider; antibodies; bugs; species,0.7573; 0.2888; 0.2783; 0.2771; 0.2696; 0.2675; 0.2672; 0.2633,neutral,Made it after reading half a book and forgetting the plot
image122,Grasshopper Shadows,@inside_out,"Reykjavík, Iceland",train window seat,7,Day after graduation,-,0.76,-,a grasshopper and an insect,insect; grasshopper; insects; brochure; flyer; bugs; restoration; publication; species,0.7682; 0.7493; 0.2689; 0.2644; 0.2637; 0.2539; 0.25; 0.25; 0.2499,mysterious,Painted it on the floor using the wrong brush on purpose
image124,Green Vase Whispers,@amethyst_sky,"Marrakesh, Morocco",balcony at sunset,10,Winter of '98,-,-,-,a green plant in a vase,vase; plant; verde; cell; bottle; tee; shirt; textile; printed,0.7941; 0.7526; 0.2747; 0.2732; 0.2698; 0.2663; 0.2629; 0.2608; 0.2597,cool,Sketched it while sitting on the curb eating chips at midnight
image129,Woman in Hat,@asteroid_belt,"Dead Sea, Israel",train window seat,7,Middle of summer,-,0.54,-,a woman wearing a hat,hat; shoulder; profile; reconstruction; neck; lid; outline; hats,0.2829; 0.2754; 0.2692; 0.2686; 0.2676; 0.2673; 0.2672; 0.2659,serene,Painted it sitting on a warm rock by the gas station
image130,Woman with Earrings,@golden_hour,"Montreal, Canada",office desk corner,9,During the blackout,🍝,0.55,-,a woman wearing earrings,earrings; portrait; ana; portraits; icon; avatar; vector; ranger,0.7322; 0.2618; 0.2602; 0.2572; 0.2565; 0.2541; 0.254; 0.2524,neutral,Made it after my phone froze mid-song and I got stuck in silence
image131,"Leaves, Branches, Snowflakes",@aquamarine_wave,"Paris, France",during traffic in my car,5,Last June,☕,0.77,-,"leaves, branches, and snowflakes in a blue sky",snowflakes; branches; sky; blue; leaves; leaf; plant; pine; vegetation; seasons; plants; branch,0.7587; 0.752; 0.7124; 0.6979; 0.2867; 0.284; 0.2805; 0.2784; 0.2689; 0.267; 0.2644; 0.263,melancholic,Created it after spilling an entire cup of water on my shoes
image133,Woman in Headscarf,@creative_spirit,"Oaxaca, Mexico",beach,6,One rainy afternoon,🍷,0.59,-,a woman wearing a headscarf,headscarf; sudan; ana; study; portrait; worker; arab; civilian,0.8139; 0.2739; 0.2672; 0.2624; 0.2595; 0.2592; 0.2587; 0.257,serene,Painted it during an uncomfortable video call with my dentist
image134,Potted Plant on a Small Table,@crystal_echo,"Paris, France",toilet,14,Night of the eclipse,🍝,0.75,-,a potted plant on a small table,table; pine; plant; florist; winter; plants; florists; decorative; decorating,0.7583; 0.2772; 0.2759; 0.2719; 0.2717; 0.2713; 0.267; 0.2658; 0.2658,mysterious,Made it in between arguing with my brother and eating cereal
image137,Oranges in a Bowl,@quiet_night,"Amsterdam, Netherlands",kitchen table,11,Winter break,🍝,0.84,-,oranges in a bowl,bowl; oranges; potatoes; potato; bread; foods; recipes; cookies; yeast; tomato,0.7647; 0.7631; 0.2969; 0.2818; 0.2746; 0.2714; 0.2709; 0.2681; 0.2681; 0.268,warm,Created it right after finding a dead moth in my notebook
image138,Ink and Gouache,@zen_garden,"Rome, Italy",attic room,13,An endless Sunday,🍷,0.7,Found an old notebook and sketched over my old school notes,"ink, and gouache on",gouache; ink; abstracts; colors; color; markers; acrylic; layer; abstract; oils,0.7839; 0.7436; 0.2732; 0.2719; 0.2678; 0.2676; 0.2673; 0.267; 0.2663; 0.2647,neutral,Found an old notebook and sketched over my old school notes
image14,Lemon,@golden_hour,"Safed, Israel",balcony at sunset,10,Midnight in April,🍝,0.98,-,a lemon and a of,lemon; pieces; piece; circular; lid; circle; fraction; geo,0.7503; 0.2757; 0.2736; 0.2729; 0.2689; 0.2649; 0.2647; 0.2632,mysterious,Made it while listening to the hum of my fridge too closely
image150,Tall White Column,@brown_bear,"Venice, Italy",museum hallway,12,An endless Sunday,-,0.79,-,a tall white column in the middle of a room,middle; room; pole; column; cylinder; wall; aluminium; scale; lcd; columns,0.7407; 0.7295; 0.2934; 0.2898; 0.2709; 0.2695; 0.267; 0.2645; 0.264; 0.2632,neutral,-
image156,Woman Walking in Field with Car,@shallow_waters,"Acre, Israel",bus seat,4,First week of college,🍷,0.88,-,a woman walking in a field and a car in the,field; car; gardening; lawn; farming; yard; picking; farmer; garden; childhood,0.7495; 0.6945; 0.2571; 0.255; 0.2536; 0.2531; 0.2524; 0.2514; 0.2513; 0.2505,neutral,-
image159,Black and White Two,@divine_light,"Berlin, Germany",kitchen table,11,Halloween night,-,0.63,-,a black and white of two people on horseback,horseback; stamp; correspondence; kidney; stanley; teddy; charity; copies; montgomery,0.7125; 0.2641; 0.2615; 0.261; 0.2599; 0.2592; 0.2591; 0.259; 0.2585,neutral,-
image16,Lemon Slice with Hole,@soft_whisper,"Venice, Italy",during traffic in my car,5,First week of college,🌙,0.91,-,"a lemon slice, a of and a hole in the middle of it",slice; hole; middle; pour; egg; piece; lid; sun; surfaces; letter,0.7515; 0.736; 0.7242; 0.2668; 0.2638; 0.2607; 0.2607; 0.2583; 0.2582; 0.2577,serene,-
image164,Black and White Circle,@blue_moon,"Samarkand, Uzbekistan",train window seat,7,Before the big storm,☀️,0.53,-,a black and white of a circular pattern,pattern; circles; dot; stars; molecules; eclipse; particle; rings; cluster,0.7189; 0.2718; 0.2614; 0.2588; 0.2556; 0.2539; 0.2527; 0.252; 0.2497,neutral,-
image173,Unicorn with Knife and Scissors,@amber_glow,"Valparaíso, Chile",museum hallway,12,Blue hour in January,☕,0.93,-,"a of a unicorn, a knife, and scissors",scissors; knife; rabbit; bishop; pope; cross; bunny; antibody; animation,0.73; 0.7291; 0.2753; 0.2599; 0.2597; 0.2596; 0.2592; 0.2586; 0.2577,mysterious,-
image175,Woman Doing Handstand,@kunzite_dawn,"New Orleans, USA",attic room,13,15/05/23,☕,0.74,-,a of a woman doing a handstand,handstand; bat; preliminary; process; stretch; dive,0.7685; 0.2715; 0.2687; 0.2671; 0.2663; 0.2662,mysterious,-
image186,Black and White Woman,@purple_haze,"New Orleans, USA",attic room,13,Winter of '98,-,0.54,-,a black and white of a woman in a dress,dress; elegant; lady; bridal; designs; costume; tribal; traditional; victorian,0.763; 0.2749; 0.2729; 0.2725; 0.2719; 0.2683; 0.2677; 0.2675; 0.2637,neutral,-
image200,Screenshot of iPad App,@tranquil_forest,"Chefchaouen, Morocco",museum hallway,12,Blue hour in January,🍷,0.54,-,a screenshot of the ipad app,screenshot; app; ipad; posters; postcards; influences; designing; backgrounds; stickers; catalogs,0.7315; 0.7121; 0.6996; 0.2639; 0.2569; 0.2529; 0.252; 0.2494; 0.2489; 0.2486,serene,-
image202,"Table, Chair, and Doll",@lost_art,"Rome, Italy",balcony at sunset,10,Summer solstice,-,0.77,-,"a table, chair, and a doll sitting on the table",chair; doll; table; chef; santa; desk; furniture; coordinator; granny; rehabilitation,0.7229; 0.69; 0.2379; 0.237; 0.2365; 0.2357; 0.2327; 0.2324; 0.2312; 0.2305,serene,-
image203,Different Types of Shapes,@spinel_heart,"Dead Sea, Israel",in bed at midnight,15,Just before sunrise,-,0.72,-,the different types of shapes that can be drawn,types; designing; templates; configurations; macromedia; sequences; designs; shapes,0.7373; 0.2695; 0.2678; 0.2659; 0.2589; 0.2578; 0.2568; 0.2568,neutral,-
image207,Patterned Flower,@green_tea,"Eilat, Israel",during traffic in my car,5,The day the power went out,🍝,-,-,a patterned and an of a flower,flower; plants; leaves; trees; printing; templates; crafts; branches,0.7299; 0.2671; 0.2667; 0.2609; 0.2602; 0.2577; 0.2575; 0.2569,serene,-
image211,Letters and Daisy Lane Mannequin,@morganite_blush,"Tiberias, Israel",attic room,13,The hottest day of the year,-,0.93,-,"the letters daisy, lanne, manne, mx, bxl, and croro jaloux",jaloux; letters; bxl; croro; names; alias; labels; xml; exclude; diameter; name; label,0.7689; 0.7459; 0.7386; 0.7237; 0.2672; 0.2654; 0.2627; 0.2599; 0.2599; 0.2596; 0.2581; 0.2578,serene,-
image212,"Red, Yellow, Blue, Green",@midnight_owl,"Mitzpe Ramon, Israel",toilet,14,Autumn equinox,🍷,0.94,-,"red, yellow, blue, green, and black",acrylic; abstract; painted; abstracts; paint; piece; sold; oils,0.288; 0.2827; 0.2794; 0.2782; 0.2757; 0.274; 0.2722; 0.2716,warm,-
image215,Spider on Wall with Person,@ambient_sound,"Hallstatt, Austria",attic room,13,My last day at work,-,-,-,a of a spider on a wall and a person lying on the floor,spider; person; wall; floor; mechanics; anatomy; study; loss; biology,0.7556; 0.7422; 0.7398; 0.7324; 0.2738; 0.27; 0.2696; 0.2692; 0.2669,serene,-
image216,Black and White Insect,@creative_spirit,"Chefchaouen, Morocco",office desk corner,9,Autumn equinox,🍷,0.79,-,"a black and white of an insect on the wall, with a purple and green alien in the foreground",alien; insect; foreground; purple; arrow; wall; split; connections; rabbit; influences; inkjet; poison,0.7281; 0.7213; 0.7186; 0.7014; 0.2555; 0.2495; 0.2467; 0.2457; 0.2455; 0.2449; 0.2446; 0.2439,cool,-
image217,Woman with Blue Hair,@calm_ocean,"Marrakesh, Morocco",bus seat,4,The day we met,☀️,0.5,-,a of a woman with blue hair,hair; aboriginal; portrait; portraits; seller; acrylic; solomon; mali,0.7114; 0.2596; 0.2569; 0.2504; 0.2488; 0.2488; 0.2472; 0.2455,melancholic,-
image222,Interior of Restaurant,@spinel_heart,"Haifa, Israel",during traffic in my car,5,Night of the eclipse,🍷,0.84,-,the interior of a restaurant,restaurant; interior; tables; chairs; classroom; offices; furniture; desk; restaurants; furnishings,0.7418; 0.6824; 0.2678; 0.2611; 0.2592; 0.2586; 0.2511; 0.2507; 0.2467; 0.2464,neutral,-
image224,Graphics,@chrysoprase_meadow,"Venice, Italy",park bench,3,31/12/07,☕,-,-,and graphics,graphics; experiences; sentences; experience; dependence; chances; existence; determines; circumstances,0.7143; 0.2768; 0.2749; 0.2664; 0.2657; 0.2633; 0.2626; 0.2619; 0.2607,neutral,-
image227,Mermaid Girl Logo,@center_stage,"Budapest, Hungary",during traffic in my car,5,Blue hour in January,🌙,0.85,-,the mermaid girl logo in adobe illustrator,mermaid; adobe; logo; girl; designing; preview; invitations; designs; rendering; thumbnail; streaming; macromedia,0.796; 0.7399; 0.7104; 0.6765; 0.2669; 0.2637; 0.2629; 0.2607; 0.2593; 0.2575; 0.257; 0.2542,serene,-
image231,Woman’s Face with Words,@velvet_storm,"Nazareth, Israel",attic room,13,First week of college,🍝,0.8,-,an of a woman's face and the words 't' and 'hg,face; interfaces; graphic; vertex; blogs; sequences; abstracts,0.7351; 0.2482; 0.2479; 0.2459; 0.2452; 0.2452; 0.2449,mysterious,-
image236,T‑Shirt,@deep_thoughts,"Haifa, Israel",in bed at midnight,15,Middle of summer,🍝,0.66,-,a t - shirt with the words carhartt work in progress on it,shirt; work; progress; sustainability; cashiers; recycling; nonprofit; workforce; ira; cargo; organisations,0.747; 0.7359; 0.7339; 0.2689; 0.2684; 0.2679; 0.2657; 0.2645; 0.2637; 0.2631; 0.2608,serene,-
image237,Glass Desk with Two Stools,@cosmic_dance,"Tiberias, Israel",during traffic in my car,5,21/09/99,☕,0.64,-,a glass desk with two stools and a lamp,stools; glass; lamp; table; desk,0.7552; 0.7478; 0.7362; 0.3063; 0.3046,mysterious,-
image241,Black and White Logo,@overhead_light,"Jaffa, Israel",beach,6,First snow of 2012,🌙,0.96,-,a black and white logo with the letters gs,letters; logo; usr; src; sig; asn; scsi; res; rss; sys,0.7419; 0.7405; 0.2836; 0.2714; 0.268; 0.2664; 0.2664; 0.2658; 0.2657; 0.2651,neutral,-
image242,Beyond This Point,@emerald_city,"Goa, India",beach,6,New Year's Eve 2010,🍝,0.86,-,the word 'beyond this point' in black and white,point; word; boundary; points; yield; tend; rebound; bound; pointed; beyond,0.7546; 0.7193; 0.2706; 0.2699; 0.268; 0.2672; 0.2656; 0.2653; 0.2652; 0.2645,neutral,-
image244,Bear Turning Its Head,-,"Rosh Hanikra, Israel",toilet,14,My last day at work,☀️,0.82,-,a of a bear with its head in the air,head; air; lion; bears; bear; lions; scanned; pig; rat; beaver,0.7409; 0.7299; 0.2794; 0.2774; 0.2774; 0.2725; 0.2705; 0.2701; 0.2694; 0.2676,mysterious,-
image250,Two Spheres,@fantasy_realm,"Dead Sea, Israel",during traffic in my car,5,Winter break,☕,0.82,-,two spheres that are connected by lines,spheres; lines; interfaces; web; partnerships; networks; cyber; spatial; sphere; structures,0.7612; 0.7103; 0.2566; 0.2562; 0.2483; 0.2459; 0.2455; 0.2454; 0.2448; 0.2447,serene,-
image254,Flower on Beach with Person Lying,@nomadic_heart,"Barcelona, Spain",beach,6,Just before sunrise,-,0.76,-,"a flower, a beach, and a person laying on the ground",flower; ground; person; beach; albums; vessels; seasons; album; varied; influences; bloom; publications,0.7314; 0.7015; 0.692; 0.6911; 0.2713; 0.2635; 0.2589; 0.2574; 0.2572; 0.2569; 0.2558; 0.2546,serene,-
image257,Different Types of Crabs,@right_side_up,"Valparaíso, Chile",bus seat,4,My last day at work,☀️,0.97,-,different types of crabs and lobsters,lobsters; crabs; types; insects; organisms; seafood; biodiversity; catalog; species; creatures; bugs,0.7765; 0.7761; 0.7441; 0.2889; 0.2883; 0.2801; 0.2772; 0.2752; 0.2741; 0.2727; 0.2682,mysterious,-
image258,"Chair, Stool, and Table",-,"Nara, Japan",metro station,2,The festival weekend,☀️,0.56,-,"a chair, a stool, and a table",stool; tables; font; bar; chairs; furniture; table; chair; classifieds,0.7665; 0.2896; 0.2874; 0.2826; 0.2821; 0.2754; 0.2731; 0.2716; 0.2695,neutral,-
image259,Pair of Wooden Puppets,@shallow_waters,"Jerusalem, Israel",park bench,3,Autumn equinox,-,-,-,"a pair of puppets on a wooden table, with one puppet holding a knife and the other holding scissors",puppets; puppet; pair; table; hands; handjobs; hand; handed; handling; crafts; handmade; fingers,0.767; 0.74; 0.7204; 0.7098; 0.2776; 0.2704; 0.2623; 0.2575; 0.2574; 0.2564; 0.2561; 0.2547,serene,-
image260,Bear and Dog,@arcane_symbol,"Bariloche, Argentina",during traffic in my car,5,Autumn equinox,☀️,0.96,-,a of a bear and a dog,bear; dog; pda; throat; thumbnail; oral; kissing; sucking; licking; bite,0.7213; 0.7164; 0.2725; 0.2716; 0.2715; 0.2698; 0.2686; 0.2673; 0.267; 0.265,serene,-
image265,Rocket on the Ground,@gentle_breeze,"Barcelona, Spain",beach,6,-,🍝,0.74,-,a of a rocket on the ground,rocket; ground; missile,0.794; 0.7278; 0.3114,neutral,-
image267,Letters of the Alphabet,@magenta_rose,"Jaffa, Israel",during traffic in my car,5,The day we met,☀️,0.81,-,the letters of the alphabet in different styles,alphabet; styles; fonts; letters; arabic; ascii; dad; ada; letter; pdf,0.8072; 0.7332; 0.2975; 0.2931; 0.29; 0.2864; 0.2837; 0.2833; 0.2833; 0.2777,neutral,-
image27,Head with Snake,@mystical_path,"Toronto, Canada",kitchen table,11,One rainy afternoon,☀️,1.0,-,the head of a snake with its mouth open,snake; biological; head; stomach; creatures; horn; creature; fossil; mouth,0.7347; 0.2473; 0.2457; 0.243; 0.2413; 0.2408; 0.2407; 0.2394; 0.2382,mysterious,-
image270,Black and White Squares,@velvet_storm,"Caesarea, Israel",kitchen table,11,First week of college,☀️,0.53,-,black and white squares with a cat in the middle,squares; middle; poster; puzzles; quilt; abstracts; puzzle; inkjet; crossword; pieces,0.7402; 0.7142; 0.2561; 0.2556; 0.2513; 0.2503; 0.25; 0.249; 0.2482; 0.2462,neutral,-
image272,"House, Barn, and Shed",-,"Ubud, Indonesia",during traffic in my car,5,Worst birthday I've ever had,☕,0.72,-,"a house, a barn, and a shed",house; barn; mechanisms; semiconductor; mechanics; mechanical; constraints; specification; graphs; mysql,0.7347; 0.732; 0.2706; 0.2702; 0.2676; 0.2673; 0.2666; 0.2665; 0.2653; 0.2644,serene,-
image275,Chinese Zodiac Sign,@blue_moon,"Amsterdam, Netherlands",in bed at midnight,15,Winter of '98,🍝,0.67,-,"the chinese zodiac sign for the year of the tiger, a red and the words happy new year",year; sign; zodiac; tigers; annual; yearly; tiger; card; greeting; mardi; postcard,0.7374; 0.6951; 0.6904; 0.244; 0.2427; 0.2404; 0.2362; 0.2357; 0.2336; 0.2324; 0.2317,warm,-
image277,Man Sitting on Ground,@overhead_light,"Valparaíso, Chile",office desk corner,9,Autumn equinox,☀️,0.68,-,a man sitting on the ground with a cigarette in his mouth,mouth; ground; cigarette; smoking; smoke; lung; tobacco; cigarettes; joint,0.7382; 0.7233; 0.2835; 0.2783; 0.2757; 0.2714; 0.2683; 0.2653; 0.2629,serene,-
image279,Notice: May Not Be,@black_cat,"Tel Aviv, Israel",bus seat,4,Middle of summer,☕,0.87,-,a notice and may not be used without permission of the holder,notice; permission; holder; eco; ecological; exclude; ecology; existed; erotic; flyer; encyclopedia,0.7147; 0.6896; 0.6629; 0.2982; 0.2822; 0.2806; 0.276; 0.2759; 0.2707; 0.2693; 0.2691,serene,-
image28,Spiral Made of Squares,@galaxy_whisper,"Jerusalem, Israel",in bed at midnight,15,The festival weekend,🌙,0.8,-,a spiral made up of squares,spiral; squares; debian; circular; circle; circles; node; criterion; macromedia; generated,0.7776; 0.7447; 0.2967; 0.2906; 0.285; 0.2825; 0.2755; 0.2742; 0.2725; 0.272,mysterious,-
image280,Water Lilies and Lotus Flowers,@morganite_blush,"Masada, Israel",toilet,14,Day after graduation,-,0.74,-,"water lilies, lotus flowers, and other flowers",lilies; lotus; water; stamps; catalogue; catalog; editions; sequences; pages; scanning; flowers,0.7504; 0.7408; 0.6915; 0.2692; 0.2634; 0.2584; 0.2559; 0.2559; 0.2545; 0.254; 0.2537,serene,-
image281,Egg Falling from Above,@amethyst_sky,"Haifa, Israel",in bed at midnight,15,Early morning in August,🍝,-,-,an egg falling from the top of a tall building,building; top; brochure; sphere; egg; solaris; tower; ibm; acm; telecom,0.7614; 0.7311; 0.2754; 0.2718; 0.2711; 0.2708; 0.2693; 0.2686; 0.2663; 0.2659,serene,-
image286,Polar Bear and Her Cubs,@chrysoprase_meadow,"Marrakesh, Morocco",balcony at sunset,10,After the last train,🌙,-,-,a polar bear and her cubs,bear; cubs; bears,0.7896; 0.7638; 0.3088,serene,-
image290,Frog Standing in Front,@peridot_leaf,"Prague, Czech Republic",metro station,2,New Year's Eve 2010,-,0.92,-,a frog standing in front of an open door,door; standing; frog; front; builder; farmer; arnold; artist; sold; cowboy; worker; painted,0.7373; 0.723; 0.7176; 0.7014; 0.2586; 0.2544; 0.2531; 0.2477; 0.246; 0.2458; 0.2446; 0.2434,mysterious,-
image293,Poem Written with Person,@emerald_city,"Pingyao, China",park bench,3,The day we met,🍝,-,-,a poem written by person,person; poem; excerpt; annotation; transcription; transcript; translation; respondent; indexed; translations,0.703; 0.6984; 0.2555; 0.2487; 0.2443; 0.2438; 0.2425; 0.2412; 0.2403; 0.2399,serene,-
image295,Japanese Kimono in Blue,@mystical_path,"Siwa Oasis, Egypt",museum hallway,12,An endless Sunday,🍝,0.55,-,a japanese kimono in blue and white,kimono; cloth; defence; uni; defend; uniform; defense; japan,0.7783; 0.2746; 0.2727; 0.2712; 0.2672; 0.2649; 0.2627; 0.261,melancholic,-
image297,Building with Green Doors,@cyan_sky,"Reykjavík, Iceland",kitchen table,11,The week before moving out,☀️,0.57,-,a building with green doors and windows,building; openings; installations; doors; hostels; windows; lightbox; workshops; installation,0.7282; 0.2695; 0.2661; 0.2655; 0.2635; 0.2632; 0.2616; 0.2595; 0.2583,whimsical,-
image30,Group of People Standing,@topaz_star,"Reykjavík, Iceland",office desk corner,9,On my sister's wedding day,🍝,0.9,-,a group of people standing in front of a door,group; door; front; bookmarks; circus; costumes; mime; postcards; postcard; themselves; bookmark,0.7505; 0.7129; 0.7124; 0.2761; 0.2714; 0.2668; 0.2661; 0.266; 0.2649; 0.264; 0.2613,neutral,-
image303,Mermaid and Octopus,@sapphire_blue,"Hallstatt, Austria",office desk corner,9,During the blackout,☀️,0.53,-,a of a mermaid and an octopus,mermaid; octopus; comics; cartoons; modes; goods; mpegs; annotated,0.7183; 0.6803; 0.2577; 0.2537; 0.2513; 0.2485; 0.2481; 0.2472,serene,-
image304,Three Children and a Dog,@aquamarine_wave,"Nara, Japan",train window seat,7,Early morning in August,-,0.87,-,three children and a dog,children; dog; portraits; markers; crop; teens; study,0.74; 0.6893; 0.2528; 0.2471; 0.2468; 0.2447; 0.2443,neutral,-
image305,Cat Sleeping on Table,@infinite_loop,"Haifa, Israel",during traffic in my car,5,Winter of '98,🌙,0.64,Scribbled it during a Zoom meeting I should've paid attention to,a cat sleeping on a table next to a potted plant,plants; arrangement; indoor; plant; veterinary; apartment; nursery,0.2703; 0.2688; 0.2681; 0.2675; 0.2669; 0.2628; 0.2628,neutral,Scribbled it during a Zoom meeting I should've paid attention to
image308,Intriguing Visual Composition,@hidden_gem,"Zanzibar, Tanzania",train window seat,7,Middle of summer,-,0.62,-,An intriguing visual composition with distinctive artistic elements.,visual; composition; artistic,0.5; 0.4; 0.3,mysterious,-
image31,Group of People on Tile,@center_stage,"Folegandros, Greece",during traffic in my car,5,Day after graduation,☕,0.95,"Sitting in traffic, I started creating on my phone",a group of people on a tile floor,group; floor; tile; poster; frontpage; annotated; flyer; composite; annotation; brochure; newsletter,0.7227; 0.6945; 0.6869; 0.2472; 0.2423; 0.2381; 0.2366; 0.2349; 0.2346; 0.2339; 0.2322,mysterious,"Sitting in traffic, I started creating on my phone"
image311,Two Men Sitting on Couch,@lunar_tide,-,office desk corner,9,First snow of 2012,☀️,0.87,-,two men sitting on a couch,couch; men; audience; lectures; lecture; readers; counseling; sofa,0.7662; 0.7404; 0.2823; 0.2731; 0.269; 0.2687; 0.2672; 0.2659,mysterious,-
image32,Collage with Ink,@infinite_loop,"Goa, India",balcony at sunset,10,The day we met,☀️,0.97,-,"collage, and ink on",ink; collage; virus; rendered; piece; heart; acrylic; iron; preliminary; card,0.7424; 0.7383; 0.2692; 0.2645; 0.2636; 0.2628; 0.2627; 0.2625; 0.2623; 0.2613,warm,-
image320,Woman with Long Hair and Flower,@feeling_tone,"Chefchaouen, Morocco",attic room,13,Night of the eclipse,🍝,0.92,Painted on a napkin during lunch break,a woman with long hair and a flower in her hair,hair; flower; diana; belle; renaissance; helena; angel; concord; jane; pale,0.7357; 0.7058; 0.2796; 0.2777; 0.2733; 0.2628; 0.2623; 0.2612; 0.2608; 0.2606,mysterious,Painted on a napkin during lunch break
